Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Stamped Cards,PAR028,Iron Moth,EB Games Stamp,Australia/New Zealand,Paradox Rift - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,PAR028,Iron Moth,GameStop Stamp,US/Canada,Paradox Rift - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,PAR037,Snorunt,Cosmos Holo Snowflake Stamp,US/UK,Shrouded Fable - Holiday Calendar 2024,
,Stamped Cards,PAR045,Vanilluxe,Cosmos Holo Snowflake Stamp,US/UK,Shrouded Fable - Holiday Calendar 2024,
,Stamped Cards,PAR107,Slither Wing,Paradox Rift Stamp,US,Paradox Rift - Retailer Gift With Purchase,Best Buy; spend 15 dollars on Pokemon TCG products
,Stamped Cards,PAR190,Vanillish,Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,
,Stamped Cards,SVP057,Chi-Yu,Black Star Promo,US/UK,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium,One of four possible promo decks | Contains two Build & Battle Boxes
,Stamped Cards,SVP058,Iron Bundle,Black Star Promo,US/UK,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium,One of four possible promo decks | Contains two Build & Battle Boxes
,Stamped Cards,SVP059,Xatu,Black Star Promo,US/UK,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium,One of four possible promo decks | Contains two Build & Battle Boxes
,Stamped Cards,SVP060,Aegislash,Black Star Promo,US/UK,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium,One of four possible promo decks | Contains two Build & Battle Boxes
,Staff Cards,SVP057,Chi-Yu,Staff Stamp,US/UK,Paradox Rift - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP058,Iron Bundle,Staff Stamp,US/UK,Paradox Rift - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP059,Xatu,Staff Stamp,US/UK,Paradox Rift - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP060,Aegislash,Staff Stamp,US/UK,Paradox Rift - Build & Battle Box,Prerelease staff variant
,Promo Cards,SVP061,Pineco,Cosmos Holo,US/UK,Paradox Rift - Single Pack Blister,
,Promo Cards,SVP062,Sinistea,Cosmos Holo,US/UK,Paradox Rift - Single Pack Blister,
,Promo Cards,SVP063,Cetitan,Cosmos Holo,US/UK,Paradox Rift - 3-Pack Blister,
